hspeed,Distancefromexchange,MarketClassification, t24hr , httppost24hr , dns_24hrs , jitter_24hrs_up , jitter_24hrs_down , latencyloss24 
38.00,4593.60,4593.60,25.38,8.88,26.32,0.44,0.70,21.99
76.00,253.51,253.51,56.77,16.11,4.18,0.40,0.33,7.45
76.00,1446.77,1446.77,69.49,18.67,10.68,0.21,0.38,11.41
76.00,5392.84,5392.84,60.84,15.59,11.28,0.23,0.30,10.79
76.00,1975.71,1975.71,57.64,18.49,12.09,0.20,0.34,10.52
17.00,686.94,686.94,14.17,0.80,29.58,0.85,0.28,32.07
38.00,1182.15,1182.15,30.91,8.84,26.78,0.31,0.27,18.93
52.00,3045.99,3045.99,41.39,9.96,14.77,0.28,0.30,14.89
76.00,499.00,499.00,61.48,18.57,14.95,0.30,0.32,5.84
76.00,1244.72,1244.72,47.56,10.09,7.90,2.74,0.30,8.07
76.00,708.94,708.94,63.16,11.81,17.04,2.73,4.94,12.16
76.00,961.30,961.30,60.82,18.51,13.51,0.38,0.49,13.87
38.00,691.00,691.00,28.06,0.91,9.52,1.97,0.33,15.47
76.00,76.03,76.03,56.63,10.01,10.63,0.29,0.49,9.93
38.00,256.11,256.11,36.06,9.21,14.11,0.48,0.30,12.32
76.00,1624.35,1624.35,54.70,15.46,24.34,0.50,0.42,17.96
17.00,276.49,276.49,16.00,0.82,16.19,0.89,0.48,26.28
4000.00,2237.69,2237.69,3.27,0.86,58.07,23.20,5.40,50.00
76.00,1377.31,1377.31,52.91,17.41,9.19,0.21,0.26,8.50
52.00,359.56,359.56,36.21,7.81,25.66,0.29,0.26,18.26
20.00,1866.21,1866.21,6.23,0.79,47.36,0.48,0.52,40.91
76.00,141.66,141.66,73.56,18.58,17.80,0.20,0.41,12.60
76.00,1103.61,1103.61,71.23,18.65,11.05,0.40,0.39,7.32
52.00,3974.99,3974.99,44.43,9.65,18.55,0.38,0.25,11.27
38.00,2890.10,2890.10,36.74,9.31,7.27,0.23,0.46,6.02
76.00,2518.73,2518.73,46.75,14.26,14.65,0.54,0.45,14.20
0.00,2370.40,2370.40,20.87,8.42,50.55,1.29,1.44,45.80
76.00,0.00,0.00,73.73,18.41,18.65,0.26,0.29,6.31
17.00,48.05,48.05,11.89,0.95,23.42,0.48,0.37,18.27
38.00,2969.46,2969.46,30.76,5.36,17.84,0.32,1.36,26.45
17.00,0.00,0.00,9.82,0.60,23.94,5.36,0.43,23.81
0.00,3353.76,3353.76,3.62,0.46,71.53,27.77,4.35,40.47
70.00,999.00,999.00,58.35,4.99,9.29,1.61,0.77,15.14
76.00,1208.04,1208.04,65.41,16.09,10.42,0.25,1.27,9.74
80.00,1285.81,1285.81,73.89,18.55,14.63,0.27,0.29,11.96
52.00,1758.04,1758.04,48.42,9.31,7.25,0.18,0.34,5.50
17.00,4891.62,4891.62,11.36,0.84,23.71,0.72,0.50,22.12
38.00,3307.64,3307.64,20.72,3.98,28.49,0.36,0.34,28.45
76.00,2929.48,2929.48,73.28,18.47,10.53,0.19,0.51,9.83
76.00,699.50,699.50,62.37,16.63,20.26,0.22,0.40,20.16
52.00,790.83,790.83,47.40,8.46,12.43,0.23,0.26,6.03
8.00,3125.75,3125.75,3.50,0.33,39.25,1.19,0.51,33.47
38.00,0.00,0.00,16.27,4.49,23.70,0.31,1.24,24.43
76.00,2762.91,2762.91,71.69,18.18,13.24,1.13,1.19,12.17
52.00,1907.93,1907.93,37.05,6.44,14.65,0.32,0.28,6.25
52.00,1158.86,1158.86,47.01,9.12,19.42,0.35,0.37,12.26
76.00,924.41,924.41,72.48,18.55,9.00,0.31,0.36,7.20
76.00,2628.72,2628.72,49.43,15.55,15.02,1.69,0.45,12.54
38.00,1026.35,1026.35,37.31,9.33,10.98,0.28,0.31,13.28
55.00,2740.11,2740.11,46.69,9.17,13.84,0.65,0.28,11.68
38.00,934.95,934.95,26.24,9.22,19.55,0.78,0.97,15.44
17.00,0.00,0.00,10.32,0.77,24.73,0.83,0.46,23.44
17.00,3550.91,3550.91,7.56,0.74,14.08,0.61,0.71,10.62
38.00,1173.01,1173.01,37.81,4.25,19.66,0.49,0.94,10.99
40.00,667.17,667.17,33.35,1.83,10.91,0.41,0.40,8.81
40.00,2621.43,2621.43,35.71,7.00,13.43,0.41,0.65,8.51
38.00,1060.38,1060.38,40.07,4.11,14.42,0.37,0.40,14.31
17.00,2950.10,2950.10,5.09,0.84,48.90,0.79,0.57,24.29
76.00,1558.37,1558.37,72.37,16.93,12.03,0.20,0.21,6.98
0.00,1843.00,1843.00,58.71,18.33,14.31,0.26,0.40,9.32
40.00,2555.47,2555.47,23.22,6.49,28.52,0.51,0.84,25.48
38.00,3994.30,3994.30,33.00,7.98,16.45,0.33,0.23,16.44
76.00,3247.02,3247.02,56.43,6.41,7.49,0.37,0.31,7.67
17.00,6241.77,6241.77,0.83,0.34,38.42,0.99,0.76,35.79
76.00,557.52,557.52,68.69,18.56,16.93,0.37,0.26,11.79
0.00,472.76,472.76,15.62,0.83,22.60,1.44,0.38,21.11
76.00,5989.17,5989.17,74.58,20.87,15.05,0.28,0.23,13.83
38.00,1186.66,1186.66,36.96,9.27,13.73,0.39,0.38,13.92
76.00,2244.31,2244.31,50.70,9.19,17.48,0.21,0.22,9.73
38.00,1420.61,1420.61,28.92,6.05,10.92,0.46,0.18,10.44
17.00,1767.24,1767.24,17.68,0.88,30.68,0.77,0.48,25.11
76.00,1435.70,1435.70,68.70,18.52,6.90,0.20,0.37,6.21
17.00,0.00,0.00,18.59,1.02,17.49,0.58,0.39,12.70
76.00,4500.76,4500.76,63.01,18.57,17.25,0.23,0.25,9.43
76.00,2229.67,2229.67,65.07,18.55,9.72,0.19,0.39,9.04
76.00,300.98,300.98,72.53,17.85,16.21,0.18,0.18,9.52
38.00,1500.19,1500.19,36.93,9.42,17.41,0.47,0.34,10.14
17.00,2561.18,2561.18,3.10,0.34,44.99,1.37,0.58,44.00
38.00,863.70,863.70,37.21,9.32,9.58,0.22,0.42,9.67
76.00,3181.50,3181.50,56.42,18.35,13.03,0.43,0.48,13.57
40.00,2187.34,2187.34,29.57,5.08,17.70,0.55,0.44,16.84
17.00,3757.13,3757.13,4.53,0.94,39.01,1.24,0.47,31.75
0.00,0.00,0.00,68.63,18.50,22.28,0.42,0.32,8.93
38.00,591.68,591.68,34.75,9.17,13.86,0.42,0.49,13.05
76.00,1561.07,1561.07,39.84,17.25,25.18,0.17,0.26,25.71
50.00,1732.81,1732.81,51.80,3.01,15.51,5.20,0.24,14.26
0.00,1615.12,1615.12,8.78,3.08,49.96,15.68,3.74,31.65
20.00,368.42,368.42,10.22,0.96,15.28,0.67,0.58,12.40
17.00,2096.44,2096.44,5.92,0.82,21.16,0.81,0.59,21.15
50.00,1635.50,1635.50,53.02,5.26,10.92,0.35,0.15,8.36
75.00,1897.99,1897.99,74.93,9.97,6.82,0.63,0.47,8.75
250.00,2360.39,2360.39,146.46,29.29,8.99,0.17,0.14,8.01
20.00,1929.70,1929.70,10.95,0.84,33.65,1.04,0.49,36.23
150.00,1111.56,1111.56,164.00,10.02,14.64,1.66,0.18,19.41
150.00,588.70,588.70,161.98,9.85,17.93,2.41,0.26,20.35
20.00,900.01,900.01,10.78,0.88,12.30,0.62,0.35,10.50
76.00,2342.97,2342.97,62.70,9.36,17.79,1.60,0.42,11.21
20.00,345.73,345.73,10.77,0.36,17.65,1.91,0.40,15.80
38.00,1624.76,1624.76,10.61,2.97,15.67,0.30,0.32,16.91
20.00,404.31,404.31,15.43,0.95,24.19,0.54,0.37,20.68
38.00,216.68,216.68,34.97,8.99,26.37,0.44,0.55,16.42
17.00,631.29,631.29,4.59,0.82,52.42,1.05,0.54,44.65
76.00,2618.30,2618.30,65.85,18.47,16.82,0.32,0.41,7.91
76.00,360.66,360.66,63.76,16.69,27.32,0.45,0.41,25.49
17.00,169.92,169.92,20.76,1.04,22.95,0.59,0.48,20.03
17.00,1729.65,1729.65,13.74,0.46,31.63,4.53,0.45,20.19
8.00,3453.60,3453.60,0.88,0.37,25.63,1.37,1.00,24.85
50.00,2487.11,2487.11,51.13,9.65,12.39,0.33,0.37,12.22
17.00,763.15,763.15,3.77,0.65,33.75,1.12,0.87,34.89
20.00,499.06,499.06,15.08,0.75,31.39,0.86,0.54,28.67
76.00,1371.19,1371.19,39.73,18.58,18.04,0.19,0.40,17.02
17.00,991.52,991.52,10.65,0.95,24.07,0.75,0.43,23.24
38.00,1988.49,1988.49,36.99,9.36,6.02,0.26,0.41,6.25
38.00,326.55,326.55,36.62,9.22,9.28,0.62,0.59,7.43
52.00,865.28,865.28,40.01,9.28,29.34,0.38,0.40,24.51
70.00,4012.73,4012.73,72.17,5.93,17.68,2.74,0.32,30.94
17.00,1418.72,1418.72,8.18,0.65,24.15,1.31,0.46,32.76
55.00,340.09,340.09,52.30,6.88,9.92,0.37,0.38,9.40
17.00,1106.89,1106.89,11.49,0.87,27.12,3.66,0.43,32.99
17.00,1267.22,1267.22,11.07,0.97,7.36,0.54,0.29,7.25
70.00,667.22,667.22,50.20,5.97,14.67,2.11,0.33,20.74
17.00,1325.15,1325.15,3.03,0.92,23.06,0.91,0.64,18.73
70.00,968.83,968.83,76.75,5.00,8.85,1.53,0.28,11.21
76.00,3810.29,3810.29,46.73,17.56,16.10,0.23,1.62,12.65
17.00,376.03,376.03,12.41,0.86,21.45,1.06,0.40,23.11
76.00,1614.46,1614.46,61.84,16.08,16.06,0.31,0.31,7.03
8.00,4490.42,4490.42,4.92,0.45,24.42,0.88,0.51,20.07
17.00,507.61,507.61,11.38,0.94,22.10,0.74,0.50,37.99
17.00,1757.13,1757.13,7.52,0.88,23.50,0.60,0.51,25.16
38.00,1223.17,1223.17,36.55,9.30,11.80,0.27,0.55,12.66
76.00,62.07,62.07,71.70,18.47,19.75,0.18,5.39,37.34
76.00,3110.61,3110.61,67.46,18.62,16.83,0.20,1.01,9.10
38.00,1019.09,1019.09,27.26,5.05,20.97,0.50,0.40,15.95
76.00,2268.77,2268.77,59.58,18.68,12.04,0.30,0.51,12.32
0.00,0.00,0.00,36.88,9.66,7.25,0.24,0.37,5.90
0.00,0.00,0.00,37.57,9.40,12.55,0.34,0.37,8.51
17.00,0.00,0.00,17.75,1.09,14.26,0.63,0.55,7.56
38.00,0.00,0.00,40.70,8.66,11.49,0.27,0.24,6.47
0.00,0.00,0.00,35.42,4.03,11.66,0.98,0.87,10.81
76.00,0.00,0.00,31.83,13.07,12.68,0.38,0.57,6.66
76.00,0.00,0.00,73.87,18.56,7.37,0.18,1.50,10.51
15.00,0.00,0.00,24.60,7.90,8.23,0.33,0.40,7.41
17.00,0.00,0.00,6.85,1.04,24.52,0.76,0.53,18.74
200.00,2269.17,2269.17,206.26,12.11,11.05,1.86,0.23,15.40
150.00,195.02,195.02,155.53,10.00,17.35,2.20,0.28,22.65
200.00,1816.77,1816.77,168.59,12.10,10.16,1.50,0.15,18.80
200.00,1711.95,1711.95,180.80,11.38,13.99,3.74,0.33,16.42
200.00,0.00,0.00,215.78,12.12,15.97,1.25,0.23,17.74
76.00,1076.41,1076.41,73.28,18.52,6.72,0.23,0.24,6.53
38.00,576.24,576.24,36.16,9.30,4.98,0.24,0.37,5.23
8.00,2293.03,2293.03,4.47,0.74,17.30,0.78,0.51,15.60
17.00,0.00,0.00,15.27,1.09,6.68,0.66,0.53,5.46
76.00,1565.39,1565.39,74.07,18.58,16.38,0.25,0.30,15.59
76.00,1235.30,1235.30,53.94,13.92,29.55,0.33,0.36,26.95
76.00,346.99,346.99,40.69,5.37,19.42,1.17,0.50,18.04
38.00,180.77,180.77,36.16,8.87,26.53,0.22,3.70,21.22
76.00,1093.19,1093.19,72.00,16.94,14.76,0.24,0.40,11.19
38.00,2976.15,2976.15,37.25,9.29,14.39,0.23,0.42,9.97
38.00,4150.70,4150.70,36.90,8.91,20.21,0.30,0.34,11.81
17.00,3079.18,3079.18,6.18,0.49,21.29,1.26,0.45,20.34
76.00,1776.28,1776.28,59.97,13.79,16.61,0.31,0.24,9.26
76.00,0.00,0.00,46.49,18.45,10.78,0.26,0.34,9.15
20.00,5410.53,5410.53,0.41,0.53,46.94,1.71,1.23,41.76
38.00,793.41,793.41,37.07,4.82,11.97,0.54,0.44,8.26
52.00,2038.49,2038.49,32.12,5.45,28.98,0.29,0.39,28.15
38.00,989.43,989.43,33.85,7.97,15.19,0.31,0.54,17.48
17.00,408.05,408.05,17.86,0.95,9.96,0.54,0.42,8.43
76.00,2725.22,2725.22,51.70,14.06,13.45,0.37,0.35,7.02
76.00,465.26,465.26,74.13,16.97,17.52,0.30,0.31,10.75
200.00,2211.30,2211.30,172.75,11.98,14.37,1.55,0.08,25.31
76.00,245.60,245.60,74.28,18.43,23.67,0.29,0.31,15.45
38.00,0.00,0.00,36.85,9.30,9.35,0.39,0.53,14.46
38.00,3524.65,3524.65,31.00,8.46,25.03,0.31,0.46,17.93
38.00,4278.08,4278.08,23.75,2.66,18.25,0.41,0.71,25.11
76.00,2723.56,2723.56,52.65,15.95,17.37,0.18,0.27,23.48
76.00,2830.99,2830.99,49.54,18.55,22.42,0.26,1.46,12.98
76.00,1637.76,1637.76,65.34,16.96,13.01,0.19,0.17,5.96
76.00,1016.41,1016.41,72.96,18.09,11.42,0.20,1.63,8.67
52.00,1332.96,1332.96,48.34,10.05,7.88,0.27,0.25,6.83
200.00,0.00,0.00,145.88,20.38,17.08,1.73,0.21,20.80
200.00,114.81,114.81,213.94,12.10,11.35,1.27,0.23,18.88
76.00,1732.98,1732.98,69.05,18.32,12.39,0.38,0.37,10.51
150.00,559.51,559.51,138.39,10.00,10.33,2.15,0.41,15.13
76.00,3068.94,3068.94,66.78,18.56,7.48,0.19,0.38,6.73
200.00,1024.98,1024.98,211.22,12.13,15.36,1.90,0.27,23.71
200.00,1586.00,1586.00,214.42,12.11,16.80,2.14,0.24,23.35
38.00,2481.63,2481.63,36.25,9.31,7.71,0.27,0.31,8.76
200.00,2054.76,2054.76,194.12,12.08,14.97,0.78,0.23,21.21
200.00,1761.69,1761.69,215.94,11.99,11.84,2.60,0.22,11.75
76.00,1545.22,1545.22,55.45,18.51,20.34,0.32,0.26,10.92
38.00,1383.83,1383.83,36.04,7.68,21.39,0.39,0.32,30.14
17.00,2748.21,2748.21,3.41,0.84,24.81,0.70,0.35,28.90
52.00,1974.37,1974.37,48.17,9.16,25.33,0.33,0.28,17.04
76.00,676.11,676.11,45.44,13.36,17.07,0.26,1.15,13.13
76.00,1706.95,1706.95,54.53,14.48,8.51,0.21,1.41,7.55
52.00,2957.78,2957.78,47.90,9.13,7.75,0.25,0.30,7.02
50.00,2439.38,2439.38,54.53,3.06,15.01,2.24,0.25,15.89
76.00,911.49,911.49,73.76,18.53,20.42,0.22,4.11,35.82
200.00,1031.08,1031.08,116.31,11.85,16.64,2.54,0.56,19.90
150.00,0.00,0.00,162.50,10.01,13.92,1.53,0.26,14.86
200.00,0.00,0.00,135.07,20.56,17.40,2.41,0.24,24.07
200.00,770.37,770.37,192.40,12.03,14.87,1.75,0.06,24.17
200.00,955.25,955.25,217.80,11.94,10.79,1.61,0.22,11.26
200.00,1775.66,1775.66,209.08,12.11,17.55,2.80,0.26,23.42
200.00,681.05,681.05,177.73,12.12,10.70,2.47,0.33,13.63
200.00,1866.23,1866.23,211.23,12.07,15.37,2.42,0.22,19.38
200.00,438.01,438.01,89.96,11.77,10.70,2.66,0.17,11.27
200.00,0.00,0.00,171.21,11.88,11.54,2.65,0.34,20.92
200.00,325.30,325.30,218.66,12.08,17.01,1.87,0.21,21.74
38.00,1725.95,1725.95,19.71,4.68,14.00,0.72,0.47,10.97
200.00,2913.54,2913.54,194.17,12.07,15.14,1.56,0.10,15.74
200.00,937.00,937.00,201.43,12.09,17.59,1.97,0.25,22.28
76.00,725.03,725.03,73.00,18.51,5.78,0.22,0.34,4.95
52.00,3712.62,3712.62,50.18,6.20,16.51,0.34,0.18,8.79
38.00,2997.19,2997.19,32.40,9.09,10.74,0.20,0.39,10.14
76.00,2882.57,2882.57,45.52,18.07,26.72,0.54,0.68,20.75
76.00,2491.73,2491.73,43.41,9.70,19.85,0.49,0.48,20.43
