hspeed,Distancefromexchange,MarketClassification, t24hr , httppost24hr , dns_24hrs , jitter_24hrs_up , jitter_24hrs_down , latencyloss24 
76.00,801.15,801.15,60.83,16.65,17.20,0.35,0.42,10.81
200.00,1127.38,1127.38,175.26,12.21,14.26,1.72,0.20,13.63
76.00,202.20,202.20,66.78,18.58,16.51,0.22,0.39,8.76
76.00,1038.82,1038.82,61.63,18.56,15.43,0.30,0.26,11.47
8.00,1815.57,1815.57,6.61,0.35,59.64,4.63,0.55,50.55
76.00,312.36,312.36,67.38,16.95,24.48,0.26,0.24,23.04
38.00,2053.21,2053.21,37.18,9.31,10.11,0.28,0.27,9.56
38.00,3310.53,3310.53,24.55,2.37,14.70,0.53,0.31,12.52
76.00,549.60,549.60,70.61,18.29,19.06,0.33,0.37,18.64
100.00,1123.27,1123.27,106.38,5.84,12.20,1.95,0.23,14.49
52.00,1029.04,1029.04,38.87,5.76,6.82,0.29,0.38,6.64
76.00,2142.91,2142.91,57.97,18.16,6.10,0.25,0.27,5.20
76.00,1354.42,1354.42,48.93,10.41,12.50,0.38,0.57,14.06
76.00,0.00,0.00,61.56,12.99,16.80,0.21,0.18,10.68
17.00,0.00,0.00,10.83,0.97,39.36,0.68,0.68,26.47
76.00,920.52,920.52,70.75,18.54,8.51,0.23,0.19,7.92
17.00,4624.85,4624.85,9.76,0.91,27.67,4.84,0.46,25.14
17.00,0.00,0.00,19.81,1.08,12.62,0.71,0.36,16.82
76.00,363.39,363.39,57.32,18.56,17.28,0.28,0.33,16.54
76.00,1463.95,1463.95,62.30,17.84,31.30,0.37,0.48,18.99
76.00,685.62,685.62,62.52,16.40,7.09,0.21,0.30,5.69
0.00,3361.50,3361.50,1.00,0.14,45.74,7.26,1.33,50.46
52.00,2629.36,2629.36,24.96,6.33,18.35,0.46,0.37,12.31
17.00,3408.73,3408.73,16.29,0.47,22.08,1.33,0.32,26.10
20.00,0.00,0.00,12.20,0.96,37.98,3.63,0.46,33.63
38.00,2429.65,2429.65,17.61,5.37,24.51,0.52,0.59,23.65
52.00,2758.77,2758.77,50.46,9.10,24.79,0.44,0.40,18.12
8.00,2964.90,2964.90,4.86,0.38,32.29,2.01,0.48,25.79
76.00,2196.51,2196.51,36.67,8.30,21.25,0.41,0.37,15.59
76.00,3132.04,3132.04,71.68,18.46,12.42,0.28,0.29,11.11
52.00,182.49,182.49,45.60,6.91,15.37,0.23,0.28,14.62
0.00,2541.69,2541.69,34.26,9.13,26.29,0.30,0.28,20.05
76.00,3551.62,3551.62,51.83,9.50,13.68,0.43,0.51,13.01
52.00,70981.07,70981.07,44.84,9.11,35.82,0.38,0.44,22.29
38.00,1835.56,1835.56,37.15,9.28,17.70,0.31,0.23,15.10
17.00,917.67,917.67,12.05,1.02,18.93,0.97,0.69,14.14
38.00,2395.80,2395.80,37.08,9.32,5.04,0.26,0.29,10.00
0.00,3964.42,3964.42,20.39,8.86,38.27,17.45,3.76,33.21
38.00,757.15,757.15,16.88,6.11,23.52,0.54,0.54,18.19
38.00,1458.04,1458.04,36.90,9.34,5.47,0.25,0.35,7.69
38.00,0.00,0.00,33.11,6.65,31.55,0.39,0.43,32.35
76.00,2213.15,2213.15,59.07,9.06,6.33,0.33,0.30,6.75
55.00,2585.24,2585.24,24.33,4.70,21.00,0.50,0.43,19.24
17.00,1960.52,1960.52,4.80,0.46,28.27,4.89,0.55,26.28
38.00,2958.22,2958.22,35.71,9.26,18.24,0.33,0.36,18.16
17.00,1045.19,1045.19,3.28,0.82,24.15,0.88,0.45,26.12
76.00,0.00,0.00,72.67,19.08,21.63,3.24,0.15,20.92
76.00,1487.13,1487.13,68.66,18.53,13.02,0.32,0.36,11.11
38.00,2056.91,2056.91,36.55,9.25,8.98,0.22,0.50,6.10
76.00,560.21,560.21,74.17,18.58,18.67,0.22,0.23,15.75
76.00,360.22,360.22,73.92,18.53,7.15,0.29,0.34,6.21
38.00,2609.85,2609.85,14.74,3.40,10.30,0.53,0.94,10.84
8.00,1152.88,1152.88,5.77,0.37,28.62,4.48,0.46,28.84
8.00,3022.59,3022.59,3.34,0.17,47.65,2.10,0.43,42.60
76.00,777.26,777.26,74.15,18.55,12.36,0.18,0.34,11.62
76.00,3278.41,3278.41,65.70,18.40,7.79,0.19,0.39,7.02
52.00,2062.78,2062.78,49.41,10.21,9.07,0.25,0.22,7.88
52.00,3101.01,3101.01,47.33,9.13,21.10,0.42,0.36,15.55
38.00,2270.34,2270.34,37.36,9.33,7.06,0.18,0.41,11.01
38.00,3739.07,3739.07,36.81,9.08,16.27,0.23,0.23,10.32
8.00,2358.79,2358.79,4.60,0.35,30.34,1.11,0.87,31.61
8.00,567.19,567.19,4.01,0.84,31.92,1.22,1.04,31.57
20.00,741.68,741.68,17.63,0.96,9.04,0.66,0.58,8.48
76.00,2295.48,2295.48,48.01,13.76,17.96,0.44,0.31,12.00
76.00,1877.93,1877.93,71.57,18.57,11.85,0.25,0.34,9.28
38.00,882.45,882.45,16.30,3.87,28.89,0.40,0.35,25.49
55.00,3608.73,3608.73,33.17,5.20,21.91,0.49,0.38,18.77
17.00,775.26,775.26,15.12,1.04,13.38,0.49,0.30,9.00
38.00,4275.87,4275.87,16.15,0.74,14.82,0.69,1.06,12.03
76.00,2344.46,2344.46,52.85,9.80,13.02,0.31,0.34,11.02
38.00,1225.18,1225.18,13.07,1.78,17.88,0.61,0.61,18.86
38.00,1511.58,1511.58,36.05,7.20,13.81,0.36,0.54,13.91
76.00,3507.00,3507.00,73.66,18.40,24.98,0.34,0.36,15.78
38.00,1341.99,1341.99,29.89,5.56,16.13,0.59,0.28,10.43
76.00,2377.29,2377.29,49.27,18.44,13.98,0.31,0.53,7.58
38.00,879.90,879.90,36.14,6.75,19.08,0.63,0.54,17.45
8.00,1705.99,1705.99,6.39,0.39,23.62,0.74,0.34,19.92
76.00,148.35,148.35,55.60,17.34,22.40,0.70,0.38,12.32
38.00,3089.90,3089.90,37.30,9.33,11.02,0.22,0.31,11.40
17.00,754.67,754.67,7.05,0.67,21.22,0.85,0.33,23.61
76.00,2155.05,2155.05,64.00,15.51,9.90,0.19,0.23,8.81
76.00,1012.68,1012.68,71.31,18.35,16.28,0.27,0.57,15.67
38.00,608.13,608.13,30.53,9.01,14.61,0.28,0.90,11.98
38.00,374.86,374.86,36.95,3.51,7.70,0.39,0.47,8.60
17.00,0.00,0.00,16.03,0.96,17.14,2.12,1.09,16.79
38.00,4325.43,4325.43,36.91,9.27,17.77,0.26,0.45,18.26
17.00,1227.77,1227.77,8.52,0.73,28.35,0.63,0.48,21.12
38.00,0.00,0.00,37.27,9.32,8.37,0.22,0.42,8.52
38.00,1116.85,1116.85,44.08,9.73,8.48,0.21,0.30,7.46
38.00,1279.80,1279.80,30.58,6.15,13.91,0.44,0.91,13.36
55.00,2408.84,2408.84,24.88,9.25,12.88,0.90,0.78,11.09
38.00,1896.73,1896.73,29.88,8.67,38.52,0.31,0.44,37.07
17.00,463.80,463.80,13.50,0.94,21.34,0.65,0.38,37.06
76.00,2300.30,2300.30,73.90,18.41,8.06,0.33,0.35,6.98
38.00,2034.57,2034.57,34.20,9.25,21.62,0.27,0.62,15.50
76.00,904.27,904.27,73.51,17.87,16.51,0.19,0.19,12.14
38.00,1946.67,1946.67,37.33,9.31,8.66,0.32,0.29,12.45
76.00,2621.10,2621.10,73.14,20.77,17.52,0.25,0.11,10.44
17.00,329.16,329.16,13.68,0.87,27.91,0.96,0.89,25.32
17.00,522.27,522.27,14.41,0.92,25.70,0.69,0.65,21.57
76.00,2002.66,2002.66,65.85,18.54,20.30,0.29,0.25,13.74
20.00,1685.55,1685.55,5.84,0.81,26.22,1.16,0.48,25.61
76.00,4788.10,4788.10,54.32,18.50,20.33,0.36,0.27,11.86
76.00,2411.24,2411.24,48.32,18.00,10.64,0.30,0.49,6.29
38.00,1909.37,1909.37,37.17,9.30,7.19,0.28,0.30,7.27
76.00,4978.97,4978.97,69.18,18.49,14.06,0.26,0.33,6.87
17.00,849.01,849.01,14.84,0.89,24.59,0.96,0.53,23.85
38.00,2794.08,2794.08,35.94,8.56,11.23,0.56,0.53,9.87
76.00,1917.58,1917.58,50.73,9.40,11.80,0.32,0.26,9.85
17.00,2811.71,2811.71,1.41,0.64,36.61,1.31,0.73,37.33
76.00,802.94,802.94,44.90,14.90,23.55,0.45,0.42,22.52
76.00,0.00,0.00,73.35,18.54,10.96,0.26,0.37,8.77
17.00,1657.92,1657.92,9.63,0.60,23.68,1.43,0.39,18.96
55.00,1357.13,1357.13,49.15,8.75,13.92,0.37,0.27,13.71
70.00,488.48,488.48,76.67,5.00,14.02,1.19,0.28,15.46
38.00,775.10,775.10,36.86,9.32,4.72,0.39,0.30,13.00
50.00,1366.74,1366.74,53.80,3.09,10.20,1.20,0.34,13.66
17.00,4774.40,4774.40,7.77,0.98,26.57,1.56,0.51,22.99
17.00,559.73,559.73,14.37,0.99,25.13,1.14,0.69,25.50
38.00,1038.25,1038.25,36.91,9.29,6.53,0.29,0.30,8.25
38.00,2450.27,2450.27,43.08,7.20,13.23,0.64,0.96,12.74
76.00,1516.16,1516.16,69.18,18.48,16.03,0.63,0.41,15.26
20.00,1142.79,1142.79,8.49,1.05,21.09,1.31,1.34,15.24
76.00,0.00,0.00,74.00,18.41,11.34,0.24,0.25,5.30
17.00,2239.99,2239.99,3.90,0.72,26.19,0.83,0.46,28.87
38.00,172.74,172.74,37.08,9.33,6.60,0.25,0.27,6.75
38.00,970.09,970.09,29.34,5.46,24.47,0.28,0.34,34.11
17.00,3304.93,3304.93,2.54,0.65,38.26,1.63,0.70,36.82
38.00,2473.58,2473.58,36.80,7.54,16.51,0.42,0.38,13.60
76.00,941.11,941.11,64.50,18.46,21.63,0.42,0.54,20.33
38.00,0.00,0.00,20.69,10.93,25.17,0.34,0.82,25.41
17.00,804.85,804.85,15.98,0.75,27.17,0.72,0.38,26.78
76.00,0.00,0.00,60.64,18.44,19.36,0.22,0.34,16.53
55.00,1121.88,1121.88,47.57,9.43,22.46,0.46,0.39,14.94
17.00,1050.32,1050.32,16.88,0.93,24.00,0.94,0.40,23.27
76.00,1479.08,1479.08,50.94,10.04,27.85,4.33,0.43,31.40
17.00,366.46,366.46,16.49,1.00,21.66,0.99,0.39,21.27
76.00,262.98,262.98,71.46,18.56,20.22,0.26,0.29,13.19
17.00,1920.38,1920.38,5.98,0.63,25.68,2.51,1.91,26.63
17.00,314.76,314.76,16.16,0.94,20.66,0.74,0.37,21.37
38.00,1031.61,1031.61,32.10,5.42,21.38,0.42,0.38,12.40
55.00,1555.15,1555.15,44.35,9.80,18.43,0.46,0.38,17.01
38.00,236.38,236.38,37.34,9.33,8.84,0.22,0.41,12.79
76.00,1065.57,1065.57,17.05,17.54,34.48,3.60,2.57,30.38
76.00,231.01,231.01,73.74,18.62,12.50,0.20,0.21,15.57
76.00,1288.01,1288.01,62.92,17.84,159.64,0.18,0.19,10.05
17.00,2724.98,2724.98,7.93,0.48,23.60,8.51,0.51,24.11
20.00,1165.05,1165.05,11.11,1.04,17.73,0.50,0.35,16.77
38.00,1542.85,1542.85,34.59,9.24,17.43,0.28,0.44,12.06
60.00,349.18,349.18,22.55,5.99,14.43,1.44,0.62,13.30
38.00,2415.16,2415.16,32.88,8.63,11.58,7.76,0.82,12.56
38.00,3111.08,3111.08,35.74,8.94,19.28,0.35,0.33,20.85
8.00,0.00,0.00,1.48,0.32,45.73,3.74,0.72,35.36
38.00,2982.74,2982.74,36.45,9.26,11.55,0.22,0.48,12.31
38.00,792.36,792.36,36.24,9.25,14.32,0.28,0.56,14.64
76.00,571.29,571.29,72.68,18.58,7.83,0.32,0.35,6.32
38.00,826.06,826.06,36.29,9.22,12.54,0.54,0.33,18.43
38.00,747.05,747.05,34.01,7.79,23.45,0.39,0.41,18.18
38.00,626.36,626.36,37.11,9.35,7.47,0.27,0.34,14.79
0.00,2851.36,2851.36,35.54,7.65,20.77,0.46,0.31,16.07
38.00,2738.31,2738.31,37.00,9.37,18.62,0.44,0.27,11.79
76.00,1552.29,1552.29,56.19,14.82,16.25,0.35,0.36,20.12
38.00,246.44,246.44,36.96,9.22,16.05,0.44,0.34,9.97
38.00,1006.04,1006.04,10.41,1.00,36.50,1.77,0.76,32.92
52.00,628.87,628.87,42.11,6.95,24.50,0.28,0.33,23.47
76.00,283.66,283.66,73.83,18.40,19.25,0.30,0.35,11.70
70.00,1597.21,1597.21,76.38,4.96,12.56,2.04,0.23,13.10
8.00,2882.88,2882.88,3.14,0.95,25.83,0.48,0.70,18.05
52.00,579.67,579.67,49.23,9.67,8.88,0.29,0.33,7.81
38.00,2478.08,2478.08,28.84,6.45,29.33,0.32,0.36,23.33
17.00,1912.27,1912.27,3.79,0.66,32.22,1.02,0.75,30.06
38.00,1835.21,1835.21,36.94,9.31,10.38,0.33,0.32,10.64
38.00,2209.29,2209.29,36.93,9.30,7.64,0.22,0.50,9.34
38.00,153.03,153.03,37.04,9.14,18.56,0.22,0.41,13.34
38.00,1160.41,1160.41,32.95,5.92,19.18,0.36,0.55,14.93
38.00,871.00,871.00,33.70,9.13,29.93,1.50,1.05,25.48
76.00,751.09,751.09,60.15,18.52,17.02,0.19,0.36,17.09
38.00,877.32,877.32,36.77,9.31,8.21,0.22,0.49,8.43
76.00,130.97,130.97,68.89,18.56,21.01,0.20,0.45,20.08
38.00,1104.41,1104.41,37.22,9.14,19.42,0.23,0.18,14.00
38.00,1130.09,1130.09,37.17,9.02,13.32,0.25,0.44,10.03
76.00,1651.16,1651.16,62.05,16.94,14.55,0.42,0.45,13.28
76.00,1787.52,1787.52,73.42,18.64,12.95,0.19,0.21,15.71
0.00,570.02,570.02,70.92,18.34,12.27,0.43,0.34,7.26
38.00,4235.00,4235.00,24.60,5.94,13.86,0.49,0.43,15.14
17.00,224.52,224.52,17.82,1.00,14.60,0.63,0.36,15.17
76.00,599.92,599.92,72.42,18.50,21.12,0.25,0.29,15.62
8.00,0.00,0.00,1.69,0.41,50.27,1.22,0.62,40.34
38.00,1692.88,1692.88,9.66,2.05,18.86,1.04,1.46,20.69
38.00,820.99,820.99,29.70,3.61,17.74,0.43,0.50,16.83
8.00,1155.64,1155.64,5.22,0.60,27.97,0.93,0.67,26.21
38.00,254.81,254.81,32.20,6.75,18.67,0.31,0.27,14.57
38.00,1972.05,1972.05,36.50,8.35,11.93,0.29,0.42,10.32
76.00,2712.83,2712.83,42.13,7.62,26.72,0.38,0.34,25.15
17.00,2472.57,2472.57,13.24,0.93,24.40,0.79,0.32,28.50
76.00,782.52,782.52,74.11,18.53,17.75,0.34,0.35,10.50
76.00,367.24,367.24,74.15,18.43,11.97,0.33,0.35,5.84
38.00,1719.55,1719.55,33.27,6.77,23.10,0.69,0.42,20.82
38.00,555.26,555.26,34.77,6.32,50.79,0.68,0.51,23.93
17.00,2060.47,2060.47,7.42,0.93,29.98,0.84,0.65,33.12
76.00,809.22,809.22,74.02,18.52,8.23,0.25,0.20,5.61
76.00,2156.81,2156.81,73.66,18.54,10.32,0.18,0.41,7.84
20.00,4627.95,4627.95,12.77,0.47,27.12,2.98,0.78,28.26
38.00,3303.40,3303.40,32.00,9.18,34.20,0.36,0.51,24.86
76.00,0.00,0.00,48.73,18.53,16.39,0.17,0.28,15.47
0.00,0.00,0.00,69.12,28.02,13.74,1.43,1.62,7.09
70.00,1126.19,1126.19,76.28,4.69,49.18,37.94,0.33,38.05
38.00,0.00,0.00,34.78,5.60,29.75,0.39,0.48,28.85
70.00,411.73,411.73,75.88,5.19,15.09,2.33,0.27,17.90
38.00,2412.09,2412.09,36.22,9.25,15.02,0.72,0.63,9.70
38.00,2624.01,2624.01,36.74,8.45,12.62,0.38,0.46,14.21
38.00,1023.60,1023.60,37.30,9.33,7.54,0.34,0.29,4.79
38.00,1199.65,1199.65,37.09,9.30,9.02,0.25,0.42,6.18
38.00,3052.30,3052.30,36.39,7.48,8.59,0.35,0.54,10.86
38.00,4367.61,4367.61,36.62,9.44,22.32,0.44,0.25,9.49
38.00,604.07,604.07,36.99,7.53,8.54,0.39,0.48,8.38
76.00,0.00,0.00,54.34,3.68,15.82,0.24,0.37,14.92
55.00,3259.01,3259.01,39.07,11.13,21.15,0.44,0.39,20.88
50.00,736.83,736.83,51.61,3.03,15.65,2.58,0.10,19.79
76.00,2700.29,2700.29,54.17,18.46,18.94,0.21,0.68,16.42
52.00,1806.17,1806.17,36.07,9.23,15.82,0.34,0.56,12.40
0.00,478.29,478.29,72.93,18.57,12.25,0.21,0.36,6.13
50.00,1787.94,1787.94,53.92,3.52,13.47,3.10,0.11,23.37
55.00,3046.43,3046.43,56.27,11.35,18.21,0.41,0.40,11.68
76.00,904.27,904.27,68.88,16.94,14.44,0.23,0.27,12.50
76.00,1132.89,1132.89,50.93,8.47,12.49,0.19,0.27,11.32
76.00,2629.81,2629.81,65.90,18.38,14.76,0.27,0.44,13.35
76.00,561.74,561.74,72.53,18.54,12.50,0.32,0.35,5.47
76.00,1835.88,1835.88,72.18,15.45,14.30,2.44,0.35,12.67
76.00,442.50,442.50,65.22,18.66,24.05,0.28,0.34,20.86
76.00,692.73,692.73,71.91,18.62,5.58,0.27,0.30,14.94
38.00,3695.25,3695.25,37.19,9.09,18.97,0.26,0.25,13.08
38.00,2180.01,2180.01,23.27,6.87,13.15,0.34,0.59,12.09
38.00,2818.68,2818.68,28.90,7.38,20.90,0.72,0.82,14.15
52.00,2769.86,2769.86,45.34,10.08,13.87,0.21,0.38,13.00
0.00,2305.46,2305.46,19.51,19.77,17.11,0.15,0.38,12.71
17.00,2151.14,2151.14,13.49,0.92,21.93,1.29,0.35,33.39
20.00,1581.85,1581.85,6.88,0.80,24.45,1.27,0.45,23.76
38.00,0.00,0.00,24.62,2.25,20.10,9.51,0.53,26.40
17.00,2236.67,2236.67,5.24,0.79,24.93,1.04,1.09,28.53
76.00,4480.83,4480.83,14.50,12.16,32.78,2.37,3.10,33.13
76.00,4873.76,4873.76,39.43,11.28,15.21,0.29,0.48,11.78
38.00,2301.01,2301.01,36.97,9.39,6.40,0.39,0.35,10.00
17.00,2037.25,2037.25,8.49,0.83,21.49,0.66,0.45,32.74
38.00,518.83,518.83,36.18,8.67,12.27,0.48,0.29,11.19
52.00,0.00,0.00,44.23,9.31,13.14,0.33,0.38,12.22
17.00,799.93,799.93,18.60,1.03,14.61,0.56,0.32,9.92
20.00,3428.67,3428.67,3.79,0.37,52.37,2.34,1.27,34.86
17.00,1950.87,1950.87,7.63,0.94,31.28,2.02,1.39,21.52
17.00,3972.99,3972.99,7.22,1.06,18.33,0.69,0.63,17.52
76.00,1485.07,1485.07,67.33,17.87,13.07,0.76,0.73,10.63
76.00,1844.36,1844.36,66.60,18.55,19.25,0.31,0.33,17.90
20.00,596.40,596.40,15.05,1.00,14.75,0.75,0.53,13.44
38.00,1915.92,1915.92,25.86,3.20,20.34,0.32,0.27,19.74
17.00,167.26,167.26,19.54,0.99,25.35,0.86,0.25,23.33
76.00,874.33,874.33,51.17,12.49,9.21,0.44,0.34,9.20
76.00,1364.59,1364.59,72.23,18.61,17.06,0.21,0.19,12.43
76.00,1291.78,1291.78,72.12,18.52,12.91,0.23,0.61,13.32
76.00,1229.50,1229.50,49.86,18.65,13.97,0.28,0.32,20.69
38.00,290.70,290.70,55.70,9.68,16.72,0.21,0.58,18.50
76.00,583.68,583.68,73.49,18.56,14.26,0.26,0.40,13.82
76.00,381.01,381.01,70.88,18.62,8.43,0.30,0.32,5.78
76.00,1314.84,1314.84,68.91,17.70,10.40,0.26,0.29,4.85
70.00,1085.86,1085.86,76.32,4.99,16.56,2.15,0.27,23.81
76.00,0.00,0.00,59.95,15.91,17.08,0.26,0.28,8.97
38.00,1295.35,1295.35,36.98,9.29,12.22,0.19,0.44,18.12
76.00,953.82,953.82,73.18,18.51,13.31,0.30,0.34,14.07
200.00,1059.51,1059.51,182.73,12.02,24.65,1.46,0.30,15.95
200.00,517.61,517.61,166.57,11.67,10.61,2.10,0.24,11.63
200.00,0.00,0.00,175.51,12.05,8.90,1.63,0.08,17.58
200.00,293.66,293.66,209.38,11.94,20.28,3.49,0.83,24.68
200.00,1090.22,1090.22,210.99,12.06,14.46,3.03,0.26,14.92
76.00,1584.69,1584.69,69.41,18.37,6.51,0.26,0.24,4.95
200.00,1429.51,1429.51,175.66,11.95,13.70,1.54,0.10,20.07
70.00,671.47,671.47,76.51,4.94,11.69,2.14,0.24,14.25
76.00,891.88,891.88,72.96,18.59,5.42,0.25,0.38,13.49
100.00,1284.79,1284.79,95.51,6.00,13.76,1.50,0.09,23.85
200.00,942.38,942.38,177.27,12.03,13.71,1.52,0.08,24.11
200.00,1235.04,1235.04,203.34,12.03,11.26,2.06,0.28,12.00
76.00,1225.36,1225.36,73.95,18.46,5.88,0.28,0.29,5.14
200.00,589.90,589.90,190.66,12.07,13.14,1.69,0.32,22.66
76.00,697.92,697.92,48.66,10.71,9.36,0.32,0.78,13.20
76.00,3059.51,3059.51,73.50,18.25,12.94,0.21,0.24,12.35
76.00,125.28,125.28,72.86,18.46,11.34,0.20,0.23,7.98
17.00,1185.57,1185.57,17.89,1.04,15.15,1.54,0.53,15.17
200.00,2486.95,2486.95,147.19,11.93,10.27,1.34,0.26,16.22
200.00,1827.20,1827.20,216.37,12.05,17.77,2.34,0.24,25.54
200.00,1776.22,1776.22,185.73,12.04,15.46,1.27,0.23,21.12
200.00,1497.26,1497.26,201.45,11.96,22.82,1.66,0.26,23.36
76.00,818.02,818.02,56.00,18.25,30.37,0.40,0.36,27.72
76.00,505.34,505.34,72.31,18.62,5.39,0.26,0.28,4.68
200.00,1915.52,1915.52,186.96,11.76,17.46,2.72,0.34,19.98
100.00,1420.42,1420.42,106.13,6.07,16.32,3.47,0.34,18.81
200.00,1276.72,1276.72,194.35,11.72,11.81,2.76,0.07,14.58
200.00,390.85,390.85,216.17,12.09,13.05,1.64,0.23,12.76
200.00,1124.82,1124.82,209.28,12.03,11.21,1.76,0.45,11.96
200.00,1037.76,1037.76,170.40,12.04,14.55,1.73,0.13,21.21
200.00,83.82,83.82,218.05,12.09,10.97,1.74,0.22,19.16
200.00,2039.22,2039.22,143.92,19.10,15.44,2.93,0.30,17.70
38.00,2378.16,2378.16,23.70,4.83,9.68,0.70,0.29,16.06
76.00,681.03,681.03,53.55,16.19,23.70,0.32,0.42,23.07
55.00,303.98,303.98,6.94,5.56,38.61,1.85,3.58,33.59
17.00,776.36,776.36,5.60,0.96,30.17,0.90,0.62,29.84
76.00,2067.97,2067.97,57.55,17.88,16.85,0.19,0.21,11.40
17.00,3232.90,3232.90,4.36,0.83,12.34,0.69,0.59,11.84
38.00,3213.68,3213.68,24.94,3.48,17.30,0.49,0.38,10.12
38.00,1326.62,1326.62,35.76,8.63,12.44,0.47,0.67,12.36
38.00,1544.25,1544.25,32.82,5.88,20.50,0.51,0.32,13.94
17.00,1590.31,1590.31,9.78,0.84,28.41,0.59,0.46,21.75
38.00,1504.86,1504.86,36.76,9.41,11.76,0.67,0.59,10.37
76.00,5191.00,5191.00,74.12,18.42,18.25,0.25,0.24,8.78
76.00,1498.46,1498.46,74.25,16.96,20.93,0.25,0.24,20.66
76.00,307.83,307.83,69.17,16.95,18.66,0.28,0.33,16.93
0.00,0.00,0.00,36.18,8.15,21.18,0.39,0.82,18.97
0.00,1481.92,1481.92,73.67,20.80,7.63,0.18,0.08,5.50
76.00,522.18,522.18,70.52,18.43,14.59,0.32,0.29,8.16
76.00,2779.32,2779.32,63.26,18.58,13.63,0.32,0.35,8.04
76.00,3308.55,3308.55,54.90,18.53,13.34,0.19,0.21,12.23
76.00,2437.71,2437.71,55.57,15.72,8.96,0.35,0.37,8.14
70.00,1860.62,1860.62,64.61,4.56,17.49,6.74,0.45,18.63
70.00,1725.32,1725.32,69.18,6.00,17.28,1.80,0.25,32.36
38.00,4548.27,4548.27,32.03,2.41,21.33,0.41,0.38,19.91
76.00,2203.85,2203.85,65.10,16.76,23.70,0.26,0.30,19.30
38.00,300.04,300.04,27.10,1.87,22.46,0.32,0.53,22.01
76.00,788.97,788.97,59.71,11.02,16.05,0.34,0.30,22.20
70.00,645.04,645.04,73.21,4.93,17.68,0.96,0.25,23.33
38.00,3776.24,3776.24,36.43,9.32,36.02,0.37,0.33,16.22
38.00,2287.31,2287.31,34.04,8.57,11.08,0.27,0.33,11.22
17.00,263.29,263.29,15.27,1.06,22.81,0.56,0.79,16.45
17.00,262.01,262.01,18.18,1.08,26.42,0.52,0.45,20.64
38.00,3421.39,3421.39,21.22,5.49,6.44,0.26,0.26,6.98
76.00,1908.91,1908.91,69.24,18.57,11.36,0.30,0.53,7.41
17.00,582.29,582.29,18.55,1.05,17.90,0.54,0.45,18.60
55.00,4000.68,4000.68,16.51,9.68,22.68,0.70,0.63,14.60
76.00,1023.69,1023.69,71.69,18.48,10.81,0.24,0.26,5.44
38.00,1735.40,1735.40,37.12,9.31,7.52,0.26,0.41,9.41
76.00,791.56,791.56,36.99,9.30,9.37,0.20,0.40,12.12
76.00,0.00,0.00,39.73,13.06,11.89,0.26,0.29,7.09
17.00,253.60,253.60,20.28,0.99,38.65,0.64,0.36,37.24
76.00,279.01,279.01,72.35,18.58,4.83,0.20,0.41,11.96
38.00,1174.70,1174.70,29.59,4.57,14.08,0.42,0.70,20.82
76.00,3410.93,3410.93,55.70,14.65,20.51,0.25,0.27,13.38
38.00,0.00,0.00,36.73,9.29,14.61,0.22,0.43,13.29
70.00,1017.08,1017.08,73.66,5.26,14.24,2.75,0.35,19.70
38.00,2864.01,2864.01,25.63,3.12,20.64,0.58,0.32,11.40
76.00,3000.83,3000.83,73.89,16.95,11.37,0.33,0.31,11.06
17.00,697.27,697.27,8.11,0.81,34.58,1.03,0.38,32.79
76.00,1580.44,1580.44,69.96,18.49,5.66,0.19,0.20,4.75
38.00,1181.68,1181.68,31.70,9.24,14.23,0.32,0.34,10.26
55.00,3094.84,3094.84,41.23,9.30,24.23,0.45,0.44,15.93
50.00,527.91,527.91,52.53,3.08,14.24,1.56,0.36,16.33
38.00,1169.59,1169.59,36.82,9.41,15.54,0.50,0.37,8.85
76.00,951.87,951.87,49.42,8.89,11.09,2.12,0.24,34.89
17.00,0.00,0.00,14.14,0.99,22.10,0.94,0.49,14.42
38.00,2558.85,2558.85,32.31,6.28,13.29,0.38,0.34,11.65
76.00,4028.58,4028.58,49.19,18.63,8.02,0.25,0.34,7.86
38.00,1339.27,1339.27,35.56,7.54,7.00,0.31,0.72,7.63
76.00,3417.67,3417.67,55.09,18.51,7.17,0.19,0.39,5.99
38.00,1260.04,1260.04,37.16,8.49,7.41,0.25,0.51,11.27
8.00,3428.35,3428.35,3.75,0.63,30.70,1.27,0.82,30.57
38.00,316.45,316.45,36.23,9.26,10.20,0.23,0.70,6.03
52.00,687.69,687.69,44.84,8.29,9.38,0.44,0.25,8.77
76.00,0.00,0.00,66.77,18.50,11.25,0.39,0.70,10.28
17.00,757.24,757.24,14.48,0.72,32.61,5.47,0.59,30.94
55.00,1362.54,1362.54,46.83,9.30,13.27,0.42,0.54,12.15
17.00,405.17,405.17,14.88,0.91,35.93,0.81,0.51,28.86
38.00,699.51,699.51,31.12,6.86,18.99,0.26,0.22,18.67
17.00,680.25,680.25,15.98,1.02,14.97,2.01,0.50,17.42
76.00,503.61,503.61,58.77,15.30,18.96,0.24,0.24,21.84
20.00,286.01,286.01,18.59,1.06,24.90,0.59,0.45,24.38
0.00,1967.34,1967.34,6.85,0.84,31.02,0.82,0.53,33.54
38.00,3947.85,3947.85,16.79,7.92,30.50,0.42,0.34,28.89
76.00,630.69,630.69,67.64,18.56,16.76,0.21,0.40,15.82
38.00,1085.74,1085.74,34.40,9.19,14.58,0.24,1.02,16.70
