Ip,Throughput
216.58.206.137,1.147
216.58.206.138,1.109
216.58.206.139,1.154
216.58.206.141,1.258
216.58.206.142,1.394
216.58.206.143,1.22
216.58.206.145,0.848
216.58.206.146,1.078
216.58.206.149,0.842
216.58.206.150,1.056
216.58.206.151,1.094
216.58.206.152,1.2
216.58.206.153,1.214
216.58.206.154,1.203
216.58.206.155,1.046
216.58.206.156,1.248
216.58.206.158,1.184
216.58.206.159,1.338
216.58.206.160,0.736
216.58.206.161,0.732
216.58.206.162,0.796
216.58.206.163,0.792
216.58.206.164,0.582
216.58.206.165,0.796
216.58.206.166,0.775
216.58.206.167,0.776
216.58.206.168,0.793
216.58.206.169,0.727
216.58.206.170,0.747
216.58.206.171,0.755
216.58.206.173,0.725
216.58.206.174,0.804
216.58.206.175,0.786
216.58.206.177,0.414
216.58.206.178,0.805
216.58.206.181,0.755
216.58.206.182,0.802
216.58.206.183,0.747
216.58.206.184,0.736
216.58.206.185,0.766
216.58.206.186,0.777
216.58.206.187,0.691
216.58.206.188,0.556
216.58.206.189,0.793
216.58.206.190,0.653
216.58.206.191,0.753
216.58.206.192,0.837
216.58.206.193,0.796
216.58.206.194,0.822
216.58.206.195,0.78
216.58.206.196,0.815
216.58.206.197,0.779
216.58.206.198,0.701
216.58.206.199,0.786
216.58.206.200,0.757
216.58.206.201,0.754
216.58.206.202,0.776
216.58.206.203,0.53
216.58.206.205,0.757
216.58.206.206,0.774
216.58.206.207,0.786
216.58.206.209,0.442
216.58.206.210,0.795
216.58.206.213,0.75
216.58.206.214,0.813
216.58.206.215,0.722
216.58.206.216,0.72
216.58.206.217,0.79
216.58.206.218,0.763
216.58.206.219,0.797
216.58.206.220,0.748
216.58.206.221,0.868
216.58.206.222,0.721
216.58.206.223,0.738
216.58.206.224,1.414
216.58.206.225,0.94
216.58.206.226,1.066
216.58.206.227,0.959
216.58.206.228,1.343
216.58.206.229,0.834
216.58.206.230,1.199
216.58.206.231,1.036
216.58.206.232,0.912
216.58.206.233,0.998
216.58.206.234,0.934
216.58.206.235,0.941
216.58.206.237,1.244
216.58.206.238,1.031
216.58.206.239,1.02
216.58.206.241,0.77
216.58.206.242,1.096
216.58.206.245,1.214
216.58.206.246,1.045
216.58.206.247,1.037
216.58.206.248,0.978
216.58.206.249,1.046
216.58.206.250,1.06
216.58.206.251,0.637
216.58.206.252,0.988
216.58.206.253,1.207
216.58.206.254,0.981
202.106.2.12,0.127
202.106.2.19,0
202.106.2.25,0.002
202.106.2.39,0.017
202.106.2.101,0.01
202.106.2.129,0.002
202.106.2.130,0.003
202.106.2.136,0.007
202.106.2.139,0
151.101.1.28,0.45
151.101.1.96,0.012
151.101.1.109,0.305
151.101.1.110,0.091
151.101.1.134,0.089
151.101.1.250,0.032
216.58.213.1,1.184
216.58.213.2,1.091
216.58.213.4,1.229
216.58.213.5,1.185
216.58.213.6,1.171
216.58.213.7,1.162
216.58.213.8,1.207
216.58.213.9,1.273
216.58.213.10,1.156
216.58.213.11,1.123
216.58.213.13,1.321
216.58.213.14,1.152
216.58.213.15,1.182
216.58.213.17,0.745
216.58.213.18,1.404
216.58.213.21,1.125
216.58.213.22,1.242
216.58.213.23,1.329
216.58.213.24,1.2
216.58.213.25,1.047
216.58.213.26,1.354
216.58.213.27,1.258
216.58.213.28,1.339
216.58.213.29,1.092
216.58.213.30,1.259
216.58.213.31,1.157
216.58.213.32,1.236
216.58.213.33,1.217
216.58.213.34,1.228
216.58.213.35,1.179
216.58.213.36,1.058
216.58.213.37,1.215
216.58.213.38,1.205
216.58.213.39,1.125
216.58.213.40,1.175
216.58.213.41,1.243
216.58.213.42,1.206
216.58.213.43,1.035
216.58.213.45,1.219
216.58.213.46,1.273
216.58.213.47,1.145
216.58.213.49,1.055
216.58.213.50,0.734
216.58.213.53,1.374
216.58.213.54,1.178
216.58.213.55,1.312
216.58.213.56,1.237
216.58.213.57,1.225
216.58.213.58,1.079
216.58.213.59,1.208
216.58.213.60,1.152
216.58.213.61,1.077
216.58.213.62,1.254
216.58.213.63,1.192
216.58.213.96,1.218
216.58.213.97,1.2
216.58.213.98,1.586
216.58.213.100,1.274
216.58.213.101,1.277
216.58.213.102,1.231
216.58.213.103,1.277
216.58.213.104,1.218
216.58.213.105,1.21
216.58.213.106,0.797
216.58.213.107,1.23
216.58.213.109,1.194
216.58.213.110,1.139
216.58.213.111,1.205
216.58.213.113,0.94
216.58.213.114,1.182
216.58.213.117,1.307
216.58.213.118,1.23
216.58.213.119,1.225
216.58.213.120,1.259
216.58.213.121,1.099
216.58.213.122,1.311
216.58.213.123,1.269
216.58.213.124,1.25
216.58.213.125,1.15
216.58.213.126,1.068
216.58.213.127,1.305
216.58.213.128,1.108
216.58.213.129,1.078
216.58.213.130,1.043
216.58.213.131,1.068
216.58.213.132,1.081
216.58.213.133,1.285
216.58.213.134,1.064
216.58.213.135,1.139
216.58.213.136,1.039
216.58.213.137,1.281
216.58.213.138,1.05
216.58.213.139,1.034
216.58.213.141,1.125
216.58.213.142,0.992
216.58.213.143,1.142
216.58.213.145,0.799
216.58.213.146,1.399
216.58.213.149,1.256
216.58.213.150,1.084
216.58.213.151,1.079
216.58.213.152,1.204
216.58.213.153,1.037
216.58.213.154,1.184
216.58.213.155,1.06
216.58.213.156,1.462
216.58.213.157,1.108
216.58.213.158,1.072
216.58.213.159,1.299
216.58.213.160,1.208
216.58.213.161,1.061
216.58.213.162,1.19
216.58.213.163,1.133
216.58.213.164,1.144
216.58.213.165,1.002
216.58.213.166,1.122
216.58.213.167,1.177
216.58.213.168,1.074
216.58.213.169,1.058
216.58.213.170,1.121
216.58.213.171,1.173
216.58.213.173,1.095
216.58.213.174,0.984
216.58.213.175,1.347
216.58.213.177,0.547
216.58.213.178,1.054
216.58.213.181,1.302
216.58.213.182,1.119
216.58.213.183,1.038
216.58.213.184,1.14
216.58.213.185,1.128
216.58.213.186,0.961
216.58.213.187,0.892
216.58.213.188,1.2
216.58.213.189,1.013
216.58.213.190,1.024
216.58.213.191,1.108
216.58.213.192,1.018
216.58.213.193,1.049
216.58.213.194,1.025
216.58.213.195,0.818
216.58.213.196,1.005
216.58.213.197,1.024
216.58.213.198,1.016
216.58.213.199,1.069
216.58.213.200,1.083
216.58.213.201,0.993
216.58.213.202,0.823
216.58.213.203,1.151
216.58.213.205,1.094
216.58.213.206,0.982
216.58.213.207,1.108
216.58.213.209,0.877
216.58.213.210,1.035
216.58.213.213,1.174
216.58.213.214,1.062
216.58.213.215,1.059
216.58.213.216,1.006
216.58.213.217,1.058
216.58.213.218,1.036
216.58.213.219,1.088
216.58.213.220,1.236
216.58.213.221,1.054
216.58.213.222,1.036
216.58.213.223,1.065
216.58.213.224,1.08
216.58.213.225,1.052
216.58.213.226,1.06
216.58.213.227,1.15
216.58.213.228,1.089
216.58.213.229,0.972
216.58.213.230,1.067
216.58.213.231,1.034
216.58.213.232,1.031
216.58.213.233,1.156
216.58.213.234,1.046
216.58.213.235,1.013
216.58.213.237,1.119
216.58.213.238,0.995
216.58.213.239,1.022
216.58.213.241,0.833
216.58.213.242,1.132
216.58.213.245,1.016
216.58.213.246,1.007
216.58.213.247,1.015
216.58.213.248,1.038
216.58.213.249,1.112
216.58.213.250,0.958
216.58.213.251,0.955
216.58.213.252,1.055
216.58.213.253,1.093
216.58.213.254,0.761
216.58.210.1,1.054
216.58.210.2,1.07
216.58.210.3,1.044
216.58.210.4,1.043
216.58.210.5,1.16
216.58.210.6,1.138
216.58.210.7,1.178
216.58.210.8,1.066
216.58.210.9,1.116
216.58.210.10,1.019
216.58.210.11,1.029
216.58.210.13,1.137
216.58.210.14,1.15
216.58.210.15,0.998
216.58.210.17,0.763
216.58.210.18,1.203
216.58.210.21,1.002
216.58.210.22,1.023
216.58.210.23,1.139
216.58.210.24,1.186
216.58.210.25,1.049
216.58.210.26,1.035
216.58.210.27,0.356
216.58.210.28,1.083
216.58.210.29,1.065
216.58.210.30,1.202
216.58.210.31,1.063
216.58.210.32,1.247
216.58.210.33,1.23
216.58.210.34,1.179
216.58.210.36,1.232
216.58.210.37,1.241
216.58.210.38,1.2
216.58.210.39,1.199
216.58.210.40,1.176
216.58.210.41,1.267
216.58.210.42,1.257
216.58.210.43,1.165
216.58.210.45,1.207
216.58.210.46,1.244
216.58.210.47,1.198
216.58.210.49,0.858
216.58.210.50,1.263
216.58.210.53,1.278
216.58.210.54,1.077
216.58.210.55,1.231
216.58.210.56,1.174
216.58.210.57,1.2
216.58.210.58,1.131
216.58.210.59,1.285
216.58.210.60,0.646
216.58.210.61,1.236
216.58.210.62,1.314
216.58.210.63,1.048
216.58.210.64,0.423
216.58.210.65,0.421
216.58.210.66,0.434
216.58.210.67,0.441
216.58.210.68,0.428
216.58.210.69,0.428
216.58.210.70,0.417
216.58.210.71,0.43
216.58.210.72,0.414
216.58.210.73,0.433
216.58.210.74,0.332
216.58.210.75,0.414
216.58.210.77,0.397
216.58.210.78,0.414
216.58.210.79,0.429
216.58.210.81,0.175
216.58.210.82,0.44
216.58.210.85,0.408
216.58.210.86,0.429
216.58.210.87,0.412
216.58.210.88,0.411
216.58.210.89,0.402
216.58.210.90,0.435
216.58.210.91,0.408
216.58.210.92,0.425
216.58.210.93,0.506
216.58.210.94,0.424
216.58.210.95,0.407
216.58.210.96,1.208
216.58.210.97,1.149
216.58.210.98,1.239
216.58.210.99,1.116
216.58.210.100,1.191
216.58.210.101,1.251
216.58.210.102,1.312
216.58.210.103,1.167
216.58.210.104,1.365
216.58.210.105,1.26
216.58.210.106,1.284
216.58.210.107,1.244
216.58.210.109,1.128
216.58.210.110,0.673
216.58.210.111,1.195
216.58.210.113,0.795
216.58.210.114,1.083
216.58.210.117,1.144
216.58.210.118,1.124
216.58.210.119,1.05
216.58.210.120,1.117
216.58.210.121,1.204
216.58.210.122,1.101
216.58.210.123,1.106
216.58.210.124,1.207
216.58.210.125,1.145
216.58.210.126,1.087
216.58.210.127,1.205
216.58.210.192,1.225
216.58.210.193,1.185
216.58.210.194,1.128
216.58.210.196,1.167
216.58.210.197,1.161
216.58.210.198,1.272
216.58.210.199,1.21
216.58.210.200,1.335
216.58.210.201,1.202
216.58.210.202,1.275
216.58.210.203,1.237
216.58.210.205,1.217
216.58.210.206,1.204
216.58.210.207,1.166
216.58.210.209,0.8
216.58.210.210,1.25
216.58.210.213,1.188
216.58.210.214,1.157
216.58.210.215,1.179
216.58.210.216,1.187
216.58.210.217,1.198
216.58.210.218,1.41
216.58.210.219,0.721
216.58.210.220,1.205
216.58.210.221,1.259
216.58.210.222,1.257
216.58.210.223,1.15
216.58.210.224,1.342
216.58.210.225,1.198
216.58.210.226,1.213
216.58.210.228,0.373
216.58.210.229,1.373
216.58.210.230,1.252
216.58.210.231,1.219
216.58.210.232,1.202
216.58.210.233,1.172
216.58.210.234,1.285
216.58.210.235,1.161
216.58.210.237,1.112
216.58.210.238,1.218
216.58.210.239,1.173
216.58.210.241,0.796
216.58.210.242,1.258
216.58.210.245,1.185
216.58.210.246,1.287
216.58.210.247,1.223
216.58.210.248,1.143
216.58.210.249,1.203
216.58.210.250,1.181
216.58.210.251,1.073
216.58.210.252,1.257
216.58.210.253,1.268
216.58.210.254,1.182
217.69.139.42,0.012
217.69.139.61,1.089
217.69.139.65,0.086
217.69.139.66,0
217.69.139.67,0
217.69.139.68,0
217.69.139.69,0.091
217.69.139.70,0.917
217.69.139.87,1.174
217.69.139.88,0.071
217.69.139.89,0.083
217.69.139.125,0.077
217.69.139.126,0.08
217.69.139.127,0.103
217.69.139.148,0.004
217.69.139.157,0.005
217.69.139.158,0.004
217.69.139.199,1.024
217.69.139.200,1.195
217.69.139.201,1.142
217.69.139.206,1.295
217.69.139.207,1.675
217.69.139.215,0
217.69.139.216,0
217.69.139.223,0.081
217.69.139.224,0.084
151.101.64.118,0.032
151.101.64.119,0.064
151.101.64.188,0.183
151.101.64.250,0.06
52.119.164.97,0
52.119.164.124,0
52.119.164.249,0
52.119.164.251,0
52.18.96.9,0.245
52.18.96.21,0.015
52.18.96.30,0.041
52.18.96.41,0.013
52.18.96.51,0.021
52.18.96.57,0.018
52.18.96.75,0.111
52.18.96.86,0.106
52.18.96.89,0.161
52.18.96.95,0.148
52.18.96.107,0
52.18.96.129,0.235
52.18.96.137,0.017
52.18.96.179,0.008
52.18.96.198,0.936
52.18.96.212,0.013
52.18.96.238,0.002
52.18.96.250,0.048
52.18.96.253,0.044
111.202.12.2,0.087
111.202.12.3,0.002
111.202.12.9,0
111.202.12.10,0.002
111.202.12.14,0.079
111.202.12.15,0.005
111.202.12.17,0.003
111.202.12.18,0.111
111.202.12.19,0.017
111.202.12.22,0.006
111.202.12.38,0.002
111.202.12.42,0.02
111.202.12.47,0.021
111.202.12.48,0.066
111.202.12.51,0.002
111.202.12.53,0.006
111.202.12.54,0.002
111.202.12.57,0.019
111.202.12.65,0.064
111.202.12.72,0.066
111.202.12.75,0.036
111.202.12.76,0.005
111.202.12.82,0.031
111.202.12.85,0.062
111.202.12.86,0.063
111.202.12.104,0.002
111.202.12.105,0.01
111.202.12.108,0.011
111.202.12.158,0
111.202.12.160,0
111.202.12.164,0.003
111.202.12.165,0.003
111.202.12.170,0.001
111.202.12.172,0.001
111.202.12.173,0.001
111.202.12.182,0.165
111.202.12.194,0.001
111.202.12.209,0.002
111.202.12.210,0.002
111.202.12.211,0.002
111.202.12.212,0.002
111.202.12.225,0.019
111.202.12.252,0.027
36.110.213.13,0.001
36.110.213.16,0.001
36.110.213.20,0.001
36.110.213.36,0
36.110.213.38,0
36.110.213.41,0
36.110.213.44,0.001
36.110.213.55,0
36.110.213.62,0.001
36.110.213.73,0
36.110.213.83,0.001
36.110.213.84,0.002
36.110.213.95,0.001
36.110.213.97,0.001
36.110.213.104,0
36.110.213.108,0.002
36.110.213.115,0
36.110.213.116,0.002
36.110.213.120,0
36.110.213.122,0
36.110.213.125,0.001
36.110.213.139,0.001
36.110.213.140,0.001
36.110.213.141,0.004
36.110.213.163,0.002
36.110.213.186,0.001
36.110.213.190,0.001
36.110.213.202,0.001
36.110.213.204,0
36.110.213.205,0
36.110.213.209,0.002
36.110.213.215,0.003
36.110.213.217,0.016
36.110.213.219,0
36.110.213.234,0.001
36.110.213.246,0.001
36.110.213.247,0
36.110.213.252,0.001
36.110.213.253,0.001
216.58.198.1,0.918
216.58.198.2,0.95
216.58.198.3,0.854
216.58.198.4,1.021
216.58.198.5,1.011
216.58.198.6,0.871
216.58.198.7,0.919
216.58.198.8,0.943
216.58.198.9,0.96
216.58.198.10,1.001
216.58.198.11,0.953
216.58.198.13,0.927
216.58.198.14,0.921
216.58.198.15,0.962
216.58.198.17,0.601
216.58.198.18,0.932
216.58.198.21,0.929
216.58.198.22,0.956
216.58.198.23,0.923
216.58.198.24,0.93
216.58.198.25,0.927
216.58.198.26,0.999
216.58.198.27,0.947
216.58.198.28,0.918
216.58.198.29,0.981
216.58.198.30,0.883
216.58.198.31,0.979
216.58.198.32,0.932
216.58.198.33,0.91
216.58.198.34,0.987
216.58.198.35,0.9
216.58.198.36,0.885
216.58.198.37,1.019
216.58.198.38,0.914
216.58.198.39,0.928
216.58.198.40,0.99
216.58.198.41,0.922
216.58.198.42,0.885
216.58.198.43,1.069
216.58.198.45,0.892
216.58.198.46,0.985
216.58.198.47,0.976
216.58.198.49,0.639
216.58.198.50,0.968
216.58.198.53,1.011
216.58.198.54,0.917
216.58.198.55,0.91
216.58.198.56,0.904
216.58.198.57,0.957
216.58.198.58,0.959
216.58.198.59,0.984
216.58.198.60,0.616
216.58.198.61,1.037
216.58.198.62,0.984
216.58.198.63,0.97
216.58.198.64,0.973
216.58.198.65,0.943
216.58.198.66,0.908
216.58.198.67,1.019
216.58.198.68,0.973
216.58.198.69,0.743
216.58.198.70,1.026
216.58.198.71,0.902
216.58.198.72,0.91
216.58.198.73,0.946
216.58.198.74,0.923
216.58.198.75,0.966
216.58.198.77,1.037
216.58.198.78,0.933
216.58.198.79,0.977
216.58.198.81,0.537
216.58.198.82,0.964
216.58.198.85,0.843
216.58.198.86,1.08
216.58.198.87,0.935
216.58.198.88,0.946
216.58.198.89,0.959
216.58.198.90,1.002
216.58.198.91,0.923
216.58.198.92,0.969
216.58.198.93,1.036
216.58.198.94,1.122
216.58.198.95,1.07
216.58.198.160,1.259
216.58.198.161,1.169
216.58.198.162,0.974
216.58.198.164,1.205
216.58.198.165,1.27
216.58.198.166,1.159
216.58.198.167,1.213
216.58.198.168,1.172
216.58.198.170,1.189
216.58.198.171,1.108
216.58.198.173,1.079
216.58.198.174,1.178
216.58.198.175,1.144
216.58.198.177,0.969
216.58.198.178,1.19
216.58.198.181,1.285
216.58.198.182,1.249
216.58.198.183,1.246
216.58.198.184,1.148
216.58.198.185,1.219
216.58.198.186,1.286
216.58.198.187,1.333
216.58.198.188,1.157
216.58.198.189,1.243
216.58.198.190,0.871
216.58.198.191,1.196
216.58.198.192,1.042
216.58.198.193,1.071
216.58.198.194,1.115
216.58.198.195,1.145
216.58.198.196,1.074
216.58.198.197,1.148
216.58.198.198,0.936
216.58.198.199,1.012
216.58.198.200,1.131
216.58.198.201,1.065
216.58.198.202,0.967
216.58.198.203,1.061
216.58.198.205,0.45
216.58.198.206,1.099
216.58.198.207,1.075
216.58.198.209,0.592
216.58.198.210,1.335
216.58.198.213,1.04
216.58.198.214,1.128
216.58.198.215,1.076
216.58.198.216,1.063
216.58.198.217,1.107
216.58.198.218,1.08
216.58.198.219,1.003
216.58.198.220,1.081
216.58.198.221,1.07
216.58.198.222,1.067
216.58.198.223,1.13
104.215.148.6,0
104.215.148.32,0.013
104.215.148.36,0
104.215.148.44,0.031
104.215.148.93,0.01
104.215.148.96,0.046
104.215.148.117,0.001
104.215.148.142,0.001
104.215.148.167,0.031
104.215.148.173,0.002
104.215.148.176,0
104.215.148.177,0.171
104.215.148.192,0.001
104.215.148.199,0.002
104.215.148.200,0.249
104.215.148.208,0.042
216.58.211.1,0.867
216.58.211.2,0.993
216.58.211.3,0.926
216.58.211.4,0.861
216.58.211.5,0.906
216.58.211.6,0.869
216.58.211.7,0.859
216.58.211.8,0.906
216.58.211.9,0.855
216.58.211.10,0.934
216.58.211.11,0.878
216.58.211.13,0.869
216.58.211.14,0.901
216.58.211.15,0.864
216.58.211.17,0.587
216.58.211.18,0.885
216.58.211.21,0.974
216.58.211.22,0.887
216.58.211.23,0.93
216.58.211.24,0.923
216.58.211.25,0.937
216.58.211.26,0.961
216.58.211.27,0.918
216.58.211.28,0.943
216.58.211.29,0.88
216.58.211.30,0.882
216.58.211.31,0.903
216.58.211.32,0.931
216.58.211.33,0.641
216.58.211.34,0.886
216.58.211.35,0.91
216.58.211.36,0.884
216.58.211.37,0.835
216.58.211.38,0.971
216.58.211.39,0.881
216.58.211.40,0.908
216.58.211.41,0.957
216.58.211.42,0.922
216.58.211.43,0.849
216.58.211.45,0.917
216.58.211.46,0.893
216.58.211.47,0.876
216.58.211.49,0.443
216.58.211.50,0.899
216.58.211.53,0.911
216.58.211.54,0.935
216.58.211.55,0.907
216.58.211.56,0.932
216.58.211.57,0.827
216.58.211.58,0.899
216.58.211.59,0.876
216.58.211.60,0.908
216.58.211.61,0.992
216.58.211.62,0.897
216.58.211.63,0.956
216.58.211.64,1.211
216.58.211.65,1.169
216.58.211.66,1.253
216.58.211.67,1.171
216.58.211.68,1.118
216.58.211.69,1.138
216.58.211.70,1.222
216.58.211.71,1.26
216.58.211.72,1.16
216.58.211.73,1.086
216.58.211.74,1.245
216.58.211.75,1.215
216.58.211.77,1.146
216.58.211.78,1.125
216.58.211.79,1.239
216.58.211.81,0.994
216.58.211.82,1.188
216.58.211.85,1.119
216.58.211.86,1.177
216.58.211.87,1.208
216.58.211.88,1.258
216.58.211.89,1.161
216.58.211.90,1.201
216.58.211.91,1.062
216.58.211.92,1.08
216.58.211.93,1.167
216.58.211.94,1.139
216.58.211.95,1.185
216.58.211.96,1.301
216.58.211.97,1.154
216.58.211.98,1.153
216.58.211.99,1.179
216.58.211.100,1.21
216.58.211.101,1.174
216.58.211.102,1.068
216.58.211.103,1.164
216.58.211.104,1.149
216.58.211.105,1.177
216.58.211.106,1.207
216.58.211.107,1.097
216.58.211.109,1.089
216.58.211.110,1.102
216.58.211.111,1.186
216.58.211.113,0.889
216.58.211.114,1.142
216.58.211.117,1.115
216.58.211.118,1.239
216.58.211.119,1.225
216.58.211.120,1.288
216.58.211.121,1.117
216.58.211.122,1.144
216.58.211.123,1.201
216.58.211.124,1.192
216.58.211.125,1.113
216.58.211.126,1.437
216.58.211.127,1.253
216.58.211.128,0.877
216.58.211.129,0.851
216.58.211.130,0.605
216.58.211.131,0.579
216.58.211.132,0.901
216.58.211.133,0.852
216.58.211.134,0.856
216.58.211.135,0.894
216.58.211.136,0.909
216.58.211.137,0.711
216.58.211.138,1.003
216.58.211.139,0.872
216.58.211.141,0.883
216.58.211.142,0.926
216.58.211.143,0.976
216.58.211.145,0.62
216.58.211.146,0.907
216.58.211.149,0.904
216.58.211.150,0.925
216.58.211.151,0.886
216.58.211.152,0.892
216.58.211.153,0.945
216.58.211.154,0.691
216.58.211.155,0.973
216.58.211.156,0.892
216.58.211.157,0.814
216.58.211.158,0.958
216.58.211.159,0.983
216.58.211.160,1.478
216.58.211.161,1.191
216.58.211.162,1.265
216.58.211.165,1.242
216.58.211.166,1.268
216.58.211.167,1.257
216.58.211.168,1.215
216.58.211.170,1.265
216.58.211.171,1.178
216.58.211.173,1.244
216.58.211.174,1.213
216.58.211.175,1.254
216.58.211.177,0.798
216.58.211.178,1.21
216.58.211.181,1.215
216.58.211.182,1.216
216.58.211.183,1.285
216.58.211.184,1.163
216.58.211.185,1.221
216.58.211.186,1.184
216.58.211.187,1.223
216.58.211.188,1.138
216.58.211.189,1.105
216.58.211.190,1.197
216.58.211.191,1.085
64.4.250.36,0.085
64.4.250.40,0.047
64.4.250.41,0.042
64.4.250.43,0.04
123.125.116.2,0.006
123.125.116.4,0.002
123.125.116.7,0.002
123.125.116.22,0.544
123.125.116.29,0.001
123.125.116.31,0.002
192.0.78.1,0.025
192.0.78.2,0.026
192.0.78.3,0.024
192.0.78.4,0.025
192.0.78.5,0.025
192.0.78.6,0.024
192.0.78.7,0.031
192.0.78.8,0.024
192.0.78.9,0.017
192.0.78.10,0.025
192.0.78.11,0.02
192.0.78.13,0.03
192.0.78.14,0.025
192.0.78.15,0.03
192.0.78.16,0.026
192.0.78.18,0.031
192.0.78.19,0.029
192.0.78.20,0.028
192.0.78.21,0.024
192.0.78.22,0.028
192.0.78.23,0.029
192.0.78.25,0.03
192.0.78.26,0.031
192.0.78.27,0.024
192.0.78.28,0.03
192.0.78.29,0.025
192.0.78.30,0.029
192.0.78.31,0.029
192.0.78.32,0.031
192.0.78.33,0.028
192.0.78.34,0.024
192.0.78.35,0.024
192.0.78.36,0.029
192.0.78.37,0.026
192.0.78.38,0.025
192.0.78.39,0.024
192.0.78.40,0.024
192.0.78.41,0.025
192.0.78.42,0.026
192.0.78.43,0.024
192.0.78.44,0.026
192.0.78.45,0.025
192.0.78.46,0.023
192.0.78.47,0.025
192.0.78.48,0.024
192.0.78.49,0.026
192.0.78.50,0.025
192.0.78.51,0.024
192.0.78.52,0.026
192.0.78.53,0.026
192.0.78.54,0.025
192.0.78.55,0.025
192.0.78.56,0.026
192.0.78.57,0.026
192.0.78.58,0.024
192.0.78.59,0.026
192.0.78.60,0.025
192.0.78.61,0.024
192.0.78.62,0.025
192.0.78.63,0.024
192.0.78.64,0.025
192.0.78.65,0.025
192.0.78.66,0.024
192.0.78.67,0.025
192.0.78.68,0.024
192.0.78.69,0.024
192.0.78.70,0.025
192.0.78.71,0.026
192.0.78.72,0.024
192.0.78.73,0.025
192.0.78.74,0.024
192.0.78.75,0.026
192.0.78.76,0.025
192.0.78.77,0.027
192.0.78.78,0.025
192.0.78.79,0.025
192.0.78.80,0.028
192.0.78.81,0.02
192.0.78.82,0.025
192.0.78.83,0.025
192.0.78.84,0.025
192.0.78.85,0.024
192.0.78.86,0.025
192.0.78.87,0.026
192.0.78.88,0.025
192.0.78.89,0.024
192.0.78.90,0.025
192.0.78.91,0.024
192.0.78.92,0.024
192.0.78.93,0.023
192.0.78.94,0.025
192.0.78.95,0.025
192.0.78.96,0.026
192.0.78.97,0.028
192.0.78.98,0.024
192.0.78.99,0.024
192.0.78.100,0.025
192.0.78.101,0.02
192.0.78.102,0.025
192.0.78.103,0.025
192.0.78.104,0.025
192.0.78.105,0.023
192.0.78.106,0.024
192.0.78.107,0.026
192.0.78.108,0.024
192.0.78.109,0.025
192.0.78.110,0.025
192.0.78.111,0.023
192.0.78.112,0.025
192.0.78.113,0.024
192.0.78.114,0.018
192.0.78.115,0.025
192.0.78.116,0.029
192.0.78.117,0.025
192.0.78.118,0.025
192.0.78.119,0.025
192.0.78.120,0.021
192.0.78.121,0.017
192.0.78.122,0.025
192.0.78.123,0.024
192.0.78.124,0.026
192.0.78.125,0.026
192.0.78.126,0.025
192.0.78.127,0.024
192.0.78.128,0.025
192.0.78.129,0.026
192.0.78.130,0.025
192.0.78.131,0.026
192.0.78.132,0.024
192.0.78.133,0.026
192.0.78.134,0.026
192.0.78.135,0.024
192.0.78.136,0.022
192.0.78.137,0.026
192.0.78.138,0.025
192.0.78.139,0.024
192.0.78.140,0.021
192.0.78.141,0.024
192.0.78.142,0.025
192.0.78.143,0.024
192.0.78.144,0.024
192.0.78.145,0.029
192.0.78.146,0.029
192.0.78.147,0.029
192.0.78.148,0.03
192.0.78.149,0.024
192.0.78.150,0.025
192.0.78.151,0.025
192.0.78.152,0.03
192.0.78.153,0.025
192.0.78.154,0.023
192.0.78.155,0.021
192.0.78.156,0.026
192.0.78.157,0.026
192.0.78.158,0.025
192.0.78.159,0.025
192.0.78.160,0.025
192.0.78.161,0.026
192.0.78.162,0.024
192.0.78.163,0.029
192.0.78.164,0.029
192.0.78.165,0.025
192.0.78.166,0.025
192.0.78.167,0.024
192.0.78.168,0.024
192.0.78.169,0.024
192.0.78.170,0.026
192.0.78.171,0.025
192.0.78.172,0.02
192.0.78.173,0.026
192.0.78.174,0.024
192.0.78.175,0.025
192.0.78.176,0.025
192.0.78.177,0.025
192.0.78.178,0.025
192.0.78.179,0.024
192.0.78.180,0.024
192.0.78.181,0.029
192.0.78.182,0.026
192.0.78.183,0.031
192.0.78.184,0.029
192.0.78.185,0.019
192.0.78.186,0.029
192.0.78.187,0.024
192.0.78.188,0.028
192.0.78.189,0.03
192.0.78.190,0.024
192.0.78.191,0.024
192.0.78.192,0.03
192.0.78.193,0.029
192.0.78.194,0.026
192.0.78.195,0.026
192.0.78.196,0.026
192.0.78.197,0.027
192.0.78.198,0.03
192.0.78.199,0.021
192.0.78.200,0.029
192.0.78.201,0.025
192.0.78.202,0.029
192.0.78.203,0.027
192.0.78.204,0.026
192.0.78.205,0.017
192.0.78.206,0.026
192.0.78.207,0.025
192.0.78.208,0.032
192.0.78.209,0.025
192.0.78.210,0.025
192.0.78.211,0.027
192.0.78.212,0.025
192.0.78.213,0.025
192.0.78.214,0.026
192.0.78.215,0.024
192.0.78.216,0.026
192.0.78.217,0.028
192.0.78.218,0.025
192.0.78.219,0.029
192.0.78.220,0.025
192.0.78.221,0.031
192.0.78.222,0.03
192.0.78.223,0.03
192.0.78.224,0.028
192.0.78.225,0.025
192.0.78.226,0.025
192.0.78.227,0.028
192.0.78.228,0.025
192.0.78.229,0.026
192.0.78.230,0.024
192.0.78.231,0.024
192.0.78.232,0.029
192.0.78.233,0.031
192.0.78.234,0.029
192.0.78.235,0.024
192.0.78.236,0.031
192.0.78.237,0.023
192.0.78.238,0.026
192.0.78.239,0.026
192.0.78.240,0.025
192.0.78.241,0.024
