Ip,Throughput
208.83.240.49,0.09
111.65.250.2,0.098
34.233.79.178,0.472
192.0.78.12,0.03
193.28.225.200,2.004
69.36.160.167,0.181
35.190.37.46,0.237
63.97.118.67,0.031
199.80.59.194,0.059
35.247.151.249,0.001
212.101.122.34,0.451
172.217.169.1,1.225
172.217.169.2,1.182
172.217.169.4,1.204
172.217.169.5,1.261
172.217.169.6,1.124
172.217.169.7,1.169
172.217.169.8,1.25
172.217.169.10,1.259
172.217.169.11,1.154
172.217.169.13,1.125
172.217.169.14,1.124
172.217.169.15,1.102
172.217.169.17,0.657
172.217.169.18,1.094
172.217.169.21,1.184
172.217.169.22,1.134
172.217.169.23,1.16
172.217.169.24,1.084
172.217.169.25,1.044
172.217.169.26,1.247
172.217.169.27,1.209
172.217.169.28,1.038
172.217.169.29,1.05
172.217.169.30,1.042
172.217.169.31,1.188
172.217.169.32,1.095
172.217.169.33,0.806
172.217.169.34,1.125
172.217.169.36,1.033
172.217.169.37,1.221
172.217.169.38,1.296
172.217.169.39,1.039
172.217.169.40,1.233
172.217.169.41,1.165
172.217.169.42,1.022
172.217.169.43,1.041
172.217.169.45,1.039
172.217.169.46,1.134
172.217.169.47,1.036
172.217.169.49,0.786
172.217.169.50,1.008
172.217.169.53,0.994
172.217.169.54,1.207
172.217.169.55,0.982
172.217.169.56,1.183
172.217.169.57,1.098
172.217.169.58,1.032
172.217.169.59,1.321
172.217.169.60,1.001
172.217.169.61,1.028
172.217.169.62,1.209
172.217.169.63,1.18
172.217.169.64,1.083
172.217.169.65,1.09
172.217.169.66,1.276
172.217.169.69,1.016
172.217.169.70,1.081
172.217.169.71,1.188
172.217.169.72,1.152
172.217.169.73,1.028
172.217.169.74,1.162
172.217.169.75,1.027
172.217.169.77,1.236
172.217.169.79,0.978
172.217.169.81,0.709
172.217.169.82,1.061
172.217.169.85,1.024
172.217.169.86,1.094
172.217.169.87,1.019
172.217.169.88,1.206
172.217.169.89,1.138
172.217.169.90,1.345
172.217.169.91,1.153
